"0","","","","1.33","3.06","0","1.5","","","","J'ai déjà pris ma décision !"
"","","","","3.06","8.6","2.5","7.2","","","","T'as pas à me donner d'ordres ! J'ai juré d'être une épée !"
"","","","","8.6","13.21","7.5","11.3","","","","J'ai juré d'être TON épée ! Tu m'entends ?!"
"","","","","13.21","17.59","11.8","16","","","","Alors je vais te récupérer, quoi qu'il en coûte !"
"","","","","17.59","23.2","17","21.2","","","","T'es qui, toi, PUTAIN, pour décider de disparaître comme ça, hein ?"
"","","","","23.2","26.3","21.8","24.5","","","","C'est MOI qui décide quel sens donner à ma vie !"
"","","","","26.3","30.2","25.5","28","","","","C'est MA vie et j'en fais ce que je veux !"
"","","","","30.2","32.5","28.5","31.5","","","","Alors arrête de perdre du temps, gros crétin, et RAMÈNE TON CUL ICI !"
"","","","","32.5","34.7","31.5","34","","","","Alors arrête de perdre du temps, gros crétin, et RAMÈNE TON CUL ICI !"
""
