"0","2","26","4294967295","39.5","45.2","39.8","45.2","","","","I remember now. I remember everything."
"","","","","53.4","57.2","53.8","57.5","","","","We used to be humans. Normal humans."
"","","","","59","63.1","59.5","63.3","","","","Just a bunch of regular human kids like you'd see anywhere."
"","","","","66","69","66.6","69","","","","And then...we came here."
"","","","","71.5","74.5","71.8","74.5","","","","They wanted to turn us into weapons..."
"","","","","75.3","79.3","75.7","79.7","","","","So they used magic to perform terrible experiments on us."
"","","","","79.8","84.5","80.2","84.8","","","","Eventually they succeeded. They managed to create a ""perfect"" weapon."
"","","","","85","88.5","85.5","88.7","","","","The name of that weapon was Number 6."
"","","","","92.5","98","93","98.1","","","","But soon they lost control of Number 6, and the experiment was deemed a failure."
"","","","","98.6","104.3","99","104.3","","","","They had to create a weapon that could petrify Number 6 and seal it away."
"","","","","104.3","108.8","104.7","109.2","","","","So they created me. I'm Number 7."
"","","","","109.5","111.7","110","112.3","","",""," I'm...I'm a weapon."
"","","","","112.5","116","112.6","116","","","","Weapon or no weapon, you're still Emil to us."
"","","","","120.3","121.5","120.7","121.5","","","","Thank you."
""
