"0","","","","1.33","3.06","0","1.5","","","","這由我來決定！！"
"","","","","3.06","8.6","2.5","7.2","","","","我不會聽任何人的指示！我已經決定要成為劍了！！"
"","","","","8.6","13.21","7.5","11.3","","","","我已經決定……要成為你的劍了！！！"
"","","","","13.21","17.59","11.8","16","","","","我一定、一定、一定要把你帶回來！！"
"","","","","17.59","23.2","17","21.2","","","","開什麼玩笑！竟然擅自消失！擅自不見！到底在想什麼！！"
"","","","","23.2","26.3","21.8","24.5","","","","我活下去的意義由我自己決定！"
"","","","","26.3","30.2","25.5","28","","","","我的生命也操之在我！所以……"
"","","","","30.2","32.5","28.5","31.5","","","","快給我回來！你這※★○▲臭混帳！！"
"","","","","32.5","34.7","31.5","34","","","","快給我回來！你這※★○▲臭混帳！！"
""
