"0","2","26","4294967295","0.86","3.36","0.86","3.36","","","","……小白！你这……破书！"
"","","","","3.36","6.06","3.36","6.06","","","","你这破书！别在关键时刻说些莫名其妙的话！！"
"","","","","6.06","7.86","6.06","7.86","","","","要是不好好帮忙，"
"","","","","7.86","10","7.86","10","","","","我就真拿你当做柴火丢进壁炉烧成灰烬！你这废纸！"
"","","","","10","13.8","10","13.8","","","","你长了那张嘴就是为了挖苦我们的吧！？"
"","","","","13.8","15.9","13.8","15.9","","","","你那颗脑袋里塞满了对我们的说教吧！？"
"","","","","15.9","19","15.9","19","","","","居然把同伴抛到脑后，还说着魔王那些无聊的事。"
"","","","","19","22","19","22.5","","","","你开什么玩笑！！"
"","","","","24.2","26.3","24.2","26.3","","","","“1400年后的未来”"
"","","","","35.8","38","35.8","38","","","","“走向灭亡的世界”"
""
