"0","","","","1.33","3.06","0","1.5","","","","¡Ya me he decidido!"
"","","","","3.06","8.6","2.5","7.2","","","","¡Nadie me dice lo que tengo que hacer! ¡Juré que sería una espada!"
"","","","","8.6","13.21","7.5","11.3","","","","¡Juré que sería tu espada! ¡¿Me oyes?!"
"","","","","13.21","17.59","11.8","16","","","","¡Así que voy a traerte de vuelta, cueste lo que cueste!"
"","","","","17.59","23.2","17","21.2","","","","¿Quién coño te crees que eres para quitarte así de en medio?"
"","","","","23.2","26.3","21.8","24.5","","","","¡Soy yo quien decide lo que significa mi vida para mí!"
"","","","","26.3","30.2","25.5","28","","","","¡Es mi vida, y hago lo que quiero con ella!"
"","","","","30.2","32.5","28.5","31.5","","","","¡Así que deja de perder el tiempo como un imbécil y mueve tu culo hasta aquí!"
"","","","","32.5","34.7","31.5","34","","","","¡Así que deja de perder el tiempo como un imbécil y mueve tu culo hasta aquí!"
""
