"0","2","26","4294967295","0.2","2","0.2","2","","","","Weiss, seu idiota!"
"","","","","2.5","5.5","2.3","5.5","","","","Comece a fazer sentido, seu livro podre, ou vai se arrepender!"
"","","","","5.5","7.8","5.5","7.5","","","","Talvez eu rasgue suas páginas, uma a uma!"
"","","","","7.8","9.7","7.5","9.4","","","","Ou talvez eu o coloque no maldito forno!"
"","","","","9.8","13.1","9.8","13.2","","","","Como alguém com um cérebro tão grande e inteligente pode ser hipnotizado como uma putinha? Huh?"
"","","","","13.3","15.3","13.4","15.2","","","","Oh, Shadowlord! Eu te amo, Shadowlord!"
"","","","","15.4","20.8","15.3","18.3","","","","Venha aqui e dê a Weiss um grande beijo molhado, Shadowlord!"
"","","","","21","22.5","18.3","22.5","","","","Agora puxe sua cabeça para fora de sua maldita bunda e COMECE AJUDANDO A GENTE CARALHO"
"","","","","24","26","24.2","26.3","","","","1.400 anos no futuro..."
"","","","","35.5","37.8","35.8","38","","","","O mundo está à beira da destruição..."
""
