"0","","","","1.33","3.06","0","1.5","","","","나는 정했어!!"
"","","","","3.06","8.6","2.5","7.2","","","","누구의 지시도 받지 않아! 나는 칼이 되기로 정했다!!"
"","","","","8.6","13.21","7.5","11.3","","","","너의……너의 칼이 되기로 정했다!!!"
"","","","","13.21","17.59","11.8","16","","","","반드시, 반드시, 반드시 되찾고야 말겠다!!"
"","","","","17.59","23.2","17","21.2","","","","웃기지 마라! 멋대로 사라지고! 멋대로 사라지고! 뭐 하자는 거야!!"
"","","","","23.2","26.3","21.8","24.5","","","","내가 사는 의미는 내가 정한다!"
"","","","","26.3","30.2","25.5","28","","","","이 목숨도 내 맘대로 쓴다! 그러니까……"
"","","","","30.2","32.5","28.5","31.5","","","","당장 돌아와라! 이 썩을 ※★○▲ 인간아!!"
"","","","","32.5","34.7","31.5","34","","","","당장 돌아와라! 이 썩을 ※★○▲ 인간아!!"
""
