"1000","2","20","4294967295","0","2","0","2","0.5","0.5","0","悠娜的料理……味道實在太刺激……"
"","2","20","4294967295","3","5","3","5","0.5","0.5","0","不用連這種地方都這麼像媽媽吧。"
"1001","3","26","4294967295","0","3.5","0","3.5","0.5","0.5","0","翌晨"
"1002","3","26","4294967295","0","3.5","0","3.5","0.5","0.5","0","婚禮　前夕"
"1003","3","26","4294967295","0","3.5","0","3.5","0.5","0.5","0","婚禮　當日"
"1004","3","26","4294967295","0","5","0","5","0.5","0.5","0","１４１２年後"
"1005","2","26","4294967295","0","7.281","0","7.281","0.5","0.25","0","現在持續減少的人口與蔓延的怪病似乎困擾著全世界……的樣子。"
"","2","26","4294967295","8.6","14.5","8.6","14.5","0.25","0.25","0","人們稱作『魔物』的黑色怪物越來越對人們的生活造成威脅。"
"","2","26","4294967295","15.336","19.832","15.336","19.832","0.25","0.25","0","不過，對我來說只需要在意一件事。"
"","2","26","4294967295","21.043","25.85","21.043","25.85","0.25","0.25","0","那就是有沒有辦法跟妹妹悠娜安然活過今天。"
"","2","26","4294967295","27.234","31.357","27.234","31.357","0.25","0.25","0","小孩想要自力更生雖然會遇到很多困難，"
"","2","26","4294967295","31.532","36.597","31.532","36.597","0.25","0.25","0","但在這個村民大多都很親切的村子中，總覺得會有辦法撐下去。"
"","2","26","4294967295","37.723","43.365","37.723","43.365","0.25","0.25","0","不……是一定要撐下去才對，這也是為了悠娜。"
"1006","2","26","4294967295","16.83","22.24","19","22.5","0.5","0.25","0","呼……累死人啦。"
"","2","26","4294967295","22.6","29.8","25","29","0.25","0.25","0","呼，這把年紀爬樓梯還真辛苦啊。"
"","2","26","4294967295","30.2","36.76","31","35","0.25","0.25","0","不過……搞不好他今天就會回來。"
"","2","26","4294967295","36.76","41.8","36.428","39.057","0.25","0.25","0","我可不能讓燈塔的燈光就此熄滅。"
"1007","2","26","4294967295","16.951","22.635","16.3","20.5","0.25","0.25","0","我以前曾在這附近救過孩子，免遭狼群毒手。"
"","2","26","4294967295","22.849","25.816","21.8","25","0.25","0.25","0","自從那次之後，就能進去這座城了。"
"","2","26","4294967295","26.361","31.183","26.3","29.683","0.25","0.25","0","居然能接受這樣的我，真是座奇妙的城。"
"","2","26","4294967295","31.795","35.888","31.2","35","0.25","0.25","0","但我完全不懂他們的語言，別期待我能幫忙。"
"1008","2","26","4294967295","0.615","4.31","1.2","3.5","0.25","0.25","0","自從妹妹悠娜被帶走，已經過了五年。"
"","2","26","4294967295","5.253","7.822","5.4","7.8","0.25","0.25","0","雖然一直都在尋找魔王，"
"","2","26","4294967295","8.036","11.268","8.036","10","0.25","0.25","0","到卻還沒掌握到他的下落。"
"","2","26","4294967295","12.144","17.762","12.7","18.2","0.25","0.25","0","這五年當中，世界日漸荒蕪，因『黑文病』而死的人也越來越多。"
"","2","26","4294967295","18.307","23.328","19.3","23.328","0.25","0.25","0","而我則每天都過著狩獵魔物的日子。"
"","2","26","4294967295","24.138","30.087","25.3","30.2","0.25","0.25","0","堅信著持續這樣的戰鬥，總有一天能帶我找到魔王……"
"1009","3","26","4294967295","0","3","0","3","2","2","0","「凱寧的夢　～歧視～」"
"1010","3","26","4294967295","0","2","0","2","0.5","0.5","0","調合中……"
"1011","3","26","4294967295","0","3.5","0","3.5","0.5","0.5","0","兩天後"
"1012","3","26","4294967295","0","3.5","0","3.5","0.5","0.5","0","一週後"
"1013","3","26","4294967295","0","3.5","0","3.5","0.5","0.5","0","一夜過後"
"1014","1","26","4294967295","0","5","0","5","1","1","0","這世界是永劫回歸的容器世界。<LF>是這個世界為了逃避滅亡而呈現出的樣貌。"
"","1","26","4294967295","7","12","7","12","1","1","0","黑病，失落的命運。<LF>白書，偽造的真理。"
"","1","26","4294967295","14","19","14","19","1","1","0","召喚白色死亡的鹽之士兵。<LF>名為軍團，將世界封閉於幽暗之人。"
"","1","26","4294967295","21","26","21","26","1","1","0","龍之屍骸帶給世界死亡病症。<LF>龍之屍骸賦予世界魔力。"
"","1","26","4294967295","28","33","28","33","1","1","0","未來陷入黑色疾病。<LF>返回無靈魂的容器之旅。"
"","1","26","4294967295","35","40","35","40","1","1","0","災難將世界一分為二。<LF>沒有白天的世界與沒有夜晚的世界。"
"","1","26","4294967295","42","47","42","47","1","1","0","黑與白，十三之契約。<LF>容器外型超越時間與空間持續變動。"
"","1","26","4294967295","49","54","49","54","1","1","0","逐漸聽不見人們的歌聲。<LF>只聽見非人之物的嘶吼。"
