"0","2","26","4294967295","0.2","2","0.2","2","","","","¡Weiss, so gilipollas!"
"","","","","2.5","5.5","2.3","5.5","","","","¡Como no dejes ya las tonterías, te vas a enterar, tomo podrido!"
"","","","","5.5","7.8","5.5","7.5","","","","¡Te arrancaré las páginas una a una!"
"","","","","7.8","9.7","7.5","9.4","","","","¡O lo mismo te meto en el puto horno!"
"","","","","9.8","13.1","9.8","13.2","","","","¿Cómo puede caer hipnotizado como un mierdecilla alguien tan inteligente? ¿Eh?"
"","","","","13.3","15.3","13.4","15.2","","","","¡Oh, Señor de las sombras! ¡Te quiero, Señor de las sombras!"
"","","","","15.4","20.8","15.3","18.3","","","","¡Ven para acá y dale a Weiss un buen morreo con lengua, Señor de las sombras!"
"","","","","21","22.5","18.3","22.5","","","","¡Ahora espabila de una puta vez y empieza a ser útil, coño!"
"","","","","24","26","24.2","26.3","","","","1400 años más tarde..."
"","","","","35.5","37.8","35.8","38","","","","El mundo está al borde de la destrucción..."
""
