"　","　","¡Aaaah!"
"Então esse é o potencial de um replicante!","So this is a Replicant's potential!","¡Así que este es el potencial de un replicante!"
"Possíveis futuros estão... se entrelaçando com o tempo presente!","Possible futures are...blending with the time we currently inhabit!","¡Las posibilidades del futuro se están... mezclado con el tiempo actual!"
"A luz...","The light...","La luz..."
"Eu ouço uma música...","I hear a song...","Escucho una canción..."
"...iné... ...não...","...iné... ...Don't...","... iné... No..."
"...volte ...não...não...","...go back... Don't...","vuelvas... No..."
"Cala a boca, cala a boca, cala a booca!","Shut up, shut up, shut uuup!","¡Calla, calla, calla!"
"Eu já me decidi!","I already made up my mind!","¡Ya me he decidido!"
"Ninguém me diz o que fazer! Eu jurei que seria uma espada!","Nobody tells me what to do! I swore I would be a sword!","¡Nadie me dice lo que tengo que hacer! ¡Juré que sería una espada!"
"Eu jurei que seria sua espada! Ouviu!?","I swore that I would be YOUR sword! Do you hear me!?","¡Juré que sería tu espada! ¡¿Me oyes?!"
"Então trazê-lo de volta, custe o que custar!","So I am going to get you back, and I don't care what it takes!","¡Así que voy a traerte de vuelta, cueste lo que cueste!"
"Que PORRA você pensa que é para simplesmente aparecer e desaparecer assim, hein?","Who the FUCK do you think you are to just up and disappear like that, huh?","¿Quién coño te crees que eres para quitarte así de en medio?"
"Sou eu quem decide o que minha vida significa para mim!","I'M the one who gets to decide what my life means to me!","¡Soy yo quien decide lo que significa mi vida para mí!"
"É a MINHA vida, e farei o que bem entender com ela!","It's MY life, and I'll do whatever I want with it!","¡Es mi vida, y hago lo que quiero con ella!"
"Então pare de perder tempo como um idiota sem cérebro e TRATA DE TRAZER ESSE RABO DE VOLTA PRA CÁ!","So quit wasting time like a brainless fuckwit and GET YOUR ASS BACK HERE NOW!","¡Así que deja de perder el tiempo como un imbécil y mueve tu culo hasta aquí!"
