"0","","","","1.33","3.06","0","1.5","","","","Eu já me decidi!"
"","","","","3.06","8.6","2.5","7.2","","","","Ninguém me diz o que fazer! Eu jurei que seria uma espada!"
"","","","","8.6","13.21","7.5","11.3","","","","Eu jurei que seria sua espada! Ouviu!?"
"","","","","13.21","17.59","11.8","16","","","","Então, vou trazê-lo de volta, custe o que custar!"
"","","","","17.59","23.2","17","21.2","","","","Quem FODENDO você pensa que é para simplesmente aparecer e desaparecer assim, hein?"
"","","","","23.2","26.3","21.8","24.5","","","","Sou eu quem decide o que minha vida significa para mim!"
"","","","","26.3","30.2","25.5","28","","","","É a MINHA vida, e farei o que bem entender com ela!"
"","","","","30.2","32.5","28.5","31.5","","","","Então, pare de perder tempo como um idiota sem cérebro e TRAGA SUA BUNDA DE VOLTA PARA CÁ AGORA!"
"","","","","32.5","34.7","31.5","34","","","","Então, pare de perder tempo como um idiota sem cérebro e TRAGA SUA BUNDA DE VOLTA PARA CÁ AGORA!"
""
