"0","","","","1.33","3.06","0","1.5","","","","我已经决定了！！"
"","","","","3.06","8.6","2.5","7.2","","","","我不听任何人的指挥！我决定要成为利刃！！"
"","","","","8.6","13.21","7.5","11.3","","","","我决定要成为你的……你的利刃！！！"
"","","","","13.21","17.59","11.8","16","","","","我绝对、绝对、绝对要把你找回来！！"
"","","","","17.59","23.2","17","21.2","","","","开什么玩笑！擅自消失！擅自消失！你什么意思！！"
"","","","","23.2","26.3","21.8","24.5","","","","我活着的意义由我自己决定！"
"","","","","26.3","30.2","25.5","28","","","","这条命也一样，我爱怎么用就怎么用！所以……"
"","","","","30.2","32.5","28.5","31.5","","","","快回来！你这※★○▲的混蛋！！"
"","","","","32.5","34.7","31.5","34","","","","快回来！你这※★○▲的混蛋！！"
""
