"0","2","26","4294967295","0.2","2","0.2","2","","","","Weiss, brutto imbecille!"
"","","","","2.5","5.5","2.3","5.5","","","","Vedi di ragionare, mucchio di pagine ammuffite, o te ne pentirai!"
"","","","","5.5","7.8","5.5","7.5","","","","Ti strapperò via le pagine una dopo l'altra!"
"","","","","7.8","9.7","7.5","9.4","","","","Anzi, ti lancio in una cazzo di fornace!"
"","","","","9.8","13.1","9.8","13.2","","","","Come può qualcuno così intelligente farsi ipnotizzare come un coglioncello? Eh?"
"","","","","13.3","15.3","13.4","15.2","","","","Oh, Signore delle Ombre! Ti amo, Signore delle Ombre!"
"","","","","15.4","20.8","15.3","18.3","","","","Vieni qui, Signore delle Ombre, Weiss vuole limonarti tutto!"
"","","","","21","22.5","18.3","22.5","","","","Ora vedi di darti una svegliata e AIUTACI, PORCA DI QUELLA PUTTANA!"
"","","","","24","26","24.2","26.3","","","","1.400 anni nel futuro..."
"","","","","35.5","37.8","35.8","38","","","","Il mondo è sull'orlo del baratro..."
""
