"0","2","26","4294967295","0.86","3.36","0.86","3.36","","","","Weiss, brutto imbecille!"
"","","","","3.36","6.06","3.36","6.06","","","","Vedi di ragionare, mucchio di pagine ammuffite, o te ne pentirai!"
"","","","","6.06","7.86","6.06","7.86","","","","Ti strapperò via le pagine una dopo l'altra!"
"","","","","7.86","10","7.86","10","","","","Anzi, ti lancio in una cazzo di fornace!"
"","","","","10","13.8","10","13.8","","","","Come può qualcuno così intelligente farsi ipnotizzare come un coglioncello? Eh?"
"","","","","13.8","15.9","13.8","15.9","","","","Oh, Signore delle Ombre! Ti amo, Signore delle Ombre!"
"","","","","15.9","19","15.9","19","","","","Vieni qui, Signore delle Ombre, Weiss vuole limonarti tutto!"
"","","","","19","22","19","22.5","","","","Ora vedi di darti una svegliata e AIUTACI, PORCA DI QUELLA PUTTANA!"
"","","","","24.2","26.3","24.2","26.3","","","","""1.400 anni nel futuro..."""
"","","","","35.8","38","35.8","38","","","","""Il mondo è sull'orlo del baratro..."""
""
