"0","2","26","4294967295","8","9.6","8","9.6","","","","幹得好……"
"","","","","10.1","13.6","10.1","13.6","","","","想救你重視的凱寧，"
"","","","","13.8","16","13.8","16","","","","有兩個方法。"
"","","","","16.3","20.9","16.3","19.5","","","","一個方法是……一劍刺入凱寧的胸口。"
"","","","","21","25.5","20.5","25.5","","","","這是凱寧的希望，能讓她從這苦難中解脫。"
"","","","","25.8","26.9","25.8","26.9","","","","另一個呢？"
"","","","","27.1","33.4","27.1","32","","","","另一個方法是……讓凱寧恢復成人類。"
"","","","","33.6","39.4","33.3","38","","","","如果選擇這個方法，就必須拿你的『存在』來交換。"
"","","","","39.7","42.6","39.7","42","","","","快，做出選擇吧。"
"","","","","42.8","48.7","42.6","47.8","","","","你是在凱寧體內的魔物吧？為什麼會想要幫她？"
"","","","","49","52.4","49","52","","","","……理由，應該跟你一樣吧。"
"","","","","53.8","57","53.8","56.3","","","","好了，快選吧！"
""
