"É... você...?","Is that...you...?","¿Eres... tú...?"
"Yonah!","Yonah!","¡Yonah!"
"Esse é... o meu... corpo?","Is this...my...body?","¿Este es... mi... cuerpo?"
"Sim, Yonah. É seu e somente seu.","Yes, Yonah. It's yours, and yours alone.","Sí, Yonah. Tuyo y de nadie más."
"Você parece... maior do que antes. Como você cresceu.","You look...bigger than before. Like you've grown up.","Te veo... más grande. Como si hubieras crecido."
"Bem, sim, acho que você não me vê há um bom tempo.","Well yeah, I guess you haven't seen me for a while.","Sí, claro. Supongo que es que hace tiempo que no me ves."
"Eu dormi todo esse tempo?","Have I been asleep this whole time?","¿He estado durmiendo todo este tiempo?"
"Algo assim.","Something like that.","Más o menos."
"É quase como se eu fosse uma princesa de algum conto de fadas.","It's almost like I'm a princess from some fairy tale.","Es como si fuera una princesa de un cuento de hadas."
"Oh, Yonah. Estou tão feliz por ter você de volta.","Oh, Yonah. I'm so happy to have you back.","Ay, Yonah. Cuánto me alegro de volver a tenerte aquí."
"Eu também...","Me too...","Y yo..."
"Kainé?","Kainé?","¿Kainé?"
"Você e sua irmã se cuidem, ok?","You and your sister, you have a good life, okay?","Cuidaos mucho tu hermana y tú, ¿vale?"
"Onde você vai?","Where're you gonna go?","¿Adónde vas a ir?"
"Acho que vou...","Guess I'll—","Pues supongo que..."
"Você poderia ficar conosco, sabe.","You could stay with us, you know.","Sabes que puedes quedarte con nosotros."
"Obrigada, mas acho que não.","Thanks, but I'll pass.","Gracias, pero creo que no."
"Sabe como é. Tenho minhas próprias merdas para lidar.","You know how it is. I got my own shit to take care of.","Ya sabes cómo es esto. Tengo que encargarme de mis mierdas."
"O que você quer dizer?","What do you mean?","¿A qué te refieres?"
"Merdas pessoais, tudo bem? Enfim... fiquem tranquilos, sim?","Personal shit, all right? Anyway...take it easy, yeah?","Es un rollo personal. En fin... Tómatelo con calma, ¿vale?"
"Kainé...","Kainé...","Kainé..."
"Ei, olhe!","Hey, look!","¡Eh, mira!"
"É lindo!","It's beautiful!","¡Es precioso!"
"Por muito tempo, ouvi alguém me dizer sobre como desejavam ver a luz...","For the longest time, I heard someone telling me how they wanted to see the light...","Durante mucho tiempo, escuché a alguien que me expresaba sus deseos de ver la luz..."
"E agora, eles podem finalmente vê-la.","And now, they can finally see it.","Y ahora, por fin podrá verla."
