"0","2","26","4294967295","9","11","9","11","","","","Santo Deus!"
"","","","","29.9","34","29.9","34","","","","Bem-vindo de volta, Emil. Você já passou por muita coisa."
"","","","","34.1","38.6","34.1","38.6","","","","Mas meu... meu corpo..."
"","","","","39","39.7","39","39.7","","",""," "
"","","","","40.5","46","40.5","46","","","","Não suporto ficar perto de vocês quando estou desse jeito..."
"","","","","46.4","47.7","46.4","47.7","","","","O que eu te disse?"
"","","","","48.3","51","48.3","51","","","","Estamos aqui por você. Não importa o que aconteça."
"","","","","53.5","57.5","53.5","57.5","","","",""
"","","","","61.5","63.5","61.5","63","","","","Você pode ver meu rosto?"
"","","","","69.7","75.6","69.7","75.6","","","","Você... você está exatamente como eu esperava."
"","","","","77.8","81","77.8","81","","","","Você parece muito legal."
"","","","","82.7","84","83","84","","","","Certo."
"","","","","89.3","92","89.5","92","","","","Acho que estou bem agora."
""
