"0","2","26","4294967295","0.2","2","0.2","2","","","","……小白！……這本破書！"
"","","","","2.5","5.5","2.3","5.5","","","","這本破書！別在關鍵時刻說這種莫名其妙的話！！"
"","","","","5.5","7.8","5.5","7.5","","","","如果你不給我乖乖幫忙，"
"","","","","7.8","9.7","7.5","9.4","","","","我就把你丟進火爐，真的當作柴火燒喔！你這破紙片！"
"","","","","9.8","13.1","9.8","13.2","","","","你的那張嘴就是為了惹我們嫌才存在的吧！？"
"","","","","13.3","15.3","13.4","15.2","","","","你的腦袋裡應該充滿了要對我們說教的內容吧！？"
"","","","","15.4","20.8","15.3","18.3","","","","忘了夥伴，淨說些魔王長魔王短的夢話。"
"","","","","21","22.5","18.3","22.5","","","","少跟我開玩笑了！！"
"","","","","24","26","24.2","26.3","","","","１４００年後的未來"
"","","","","35.5","37.8","35.8","38","","","","逐漸毀滅的世界"
""
