"0","","","","1.33","3.06","0","1.5","","","","Ormai ho deciso!"
"","","","","3.06","8.6","2.5","7.2","","","","Nessuno mi dice cosa fare! Ho giurato di essere una spada!"
"","","","","8.6","13.21","7.5","11.3","","","","Ho giurato di essere la TUA spada! Mi hai capito?!"
"","","","","13.21","17.59","11.8","16","","","","Perciò tu resterai con me, costi quel che costi!"
"","","","","17.59","23.2","17","21.2","","","","Come osi sparire così, eh? Chi CAZZO ti credi di essere?!"
"","","","","23.2","26.3","21.8","24.5","","","","Spetta a ME decidere cosa fare della mia vita!"
"","","","","26.3","30.2","25.5","28","","","","La vita è la MIA, e la vivrò come meglio credo!"
"","","","","30.2","32.5","28.5","31.5","","","","Ora piantala di fare la testa di cazzo e TORNA SUBITO QUI!"
"","","","","32.5","34.7","31.5","34","","","","Ora piantala di fare la testa di cazzo e TORNA SUBITO QUI!"
""
