"0","2","26","4294967295","0.2","2","0.2","2","","","","Weiss, du Volltrottel!"
"","","","","2.5","5.5","2.3","5.5","","","","Komm zur Vernunft, du verfaultes Buch, sonst wird es dir noch leid tun!"
"","","","","5.5","7.8","5.5","7.5","","","","Vielleicht werde ich deine Seiten rausreißen, eine nach der anderen!"
"","","","","7.8","9.7","7.5","9.4","","","","Oder dich in den verdammten Ofen werfen!"
"","","","","9.8","13.1","9.8","13.2","","","","Wie kann sich jemand mit einem so großen, klugen Hirn wie ein<LF>kleines Flittchen hypnotisieren lassen? Hm?"
"","","","","13.3","15.3","13.4","15.2","","","","Oh, Schattenfürst! Ich liebe dich, Schattenfürst!"
"","","","","15.4","20.8","15.3","18.3","","","","Komm hierhin und gib Weiss einen dicken Kuss, Schattenfürst!"
"","","","","21","22.5","18.3","22.5","","","","Nun zieh deinen Kopf aus deinem verdammten Arsch UND HILF UNS, VERFLUCHT NOCH MAL!"
"","","","","24","26","24.2","26.3","","","","1.400 Jahre in der Zukunft ..."
"","","","","35.5","37.8","35.8","38","","","","Die Welt steht am Rande der Vernichtung ..."
""
