"0","2","26","4294967295","9","11","9","11","","","","Santo cielo!"
"","","","","29.9","34","29.9","34","","","","Bentornato, Emil. Hai sofferto tanto."
"","","","","34.1","38.6","34.1","38.6","","","","Il mio... Il mio corpo..."
"","","","","39","39.7","39","39.7","","","","Sì, lo so."
"","","","","40.5","46","40.5","46","","","","Non voglio che mi vediate in questo stato..."
"","","","","46.4","47.7","46.4","47.7","","","","Ricordi cosa ti avevo detto?"
"","","","","48.3","51","48.3","51","","","","Qualunque cosa accada, noi siamo qui per te."
"","","","","53.5","57.5","53.5","57.5","","","",""
"","","","","61.5","63.5","61.5","63","","","","Riesci a vedermi?"
"","","","","69.7","75.6","69.7","75.6","","","","Sei... sei proprio come ti immaginavo."
"","","","","77.8","81","77.8","81","","","","Hai un aspetto fantastico."
"","","","","82.7","84","83","84","","","","Sarà."
"","","","","89.3","92","89.5","92","","","","Ora sto meglio."
""
