"Yonah? Fala comigo!","Yonah? Talk to me!","¿Yonah? ¡Dime algo!"
"Tá tudo bem, estou bem... e você?","It's okay, I'm fine... What about you?","No te preocupes, estoy bien... ¿Cómo estás tú?"
"Ahh, esses caras não eram nada.","Ahh, those guys were nothin'.","Ahh, esos tipos eran poca cosa."
"Tá, bom. ...Ei, a propósito, olha isso. Encontrei enquanto você estava fora.","Okay, good. ...Hey, by the way, look at this. I found it while you were gone.","Genial... Ah, por cierto, encontré esto mientras no estabas."
"Uau, isso é um biscoito?","Whoa, is that a cookie?","Anda, ¿es una galleta?"
"Toma, a gente pode dividir.","Here, we can split it.","Toma, podemos repartírnosla."
"Não, fica com ele.","No, you take it.","No, para ti."
"Não! Você precisa comer também.","No! You need to eat too.","¡No! Tú también necesitas comer."
"Tá bem. Eu pego o pedaço menor.","Fine. I'll take the small half.","Vale. Para mí la parte más pequeña."
"Não. Vamos lá, você precisa manter sua força—","No. Come on, you need to keep up your strength—","No. Vamos, tienes que mantener las fuer..."
"Yonah? Yonah!","Yonah? Yonah!","¿Yonah? ¡Yonah!"
"Ah não... me desculpa por deixar o biscoito cair... eu não queria...","Oh no... I'm sorry I dropped the cookie... I didn't mean to...","Oh, no... Perdóname, se me ha caído la galleta... Ha sido sin querer..."
"Yonah...? Por que você—","Yonah...? Why did you—","¿Yonah...? ¿Por qué has...?"
"Você... sempre foi o único... me ajudando, então... então eu só queria...","You've...always been the one...helping me, so...so I just wanted to...","Siempre... me has ayudado tú... así que... yo solo quería..."
"Não! Yonah! YONAH!","No! Yonah! YONAH!","¡No! ¡Yonah! ¡Yonah!"
"Precisamos de ajuda...","We need help...","Necesitamos ayuda..."
"Por favor, alguém, a gente precisa de ajuda! Socorro!","Please, somebody, we need help! Help us!","¡Necesitamos ayuda! ¡Socorro!"
"Oh, Yonah...","Oh, Yonah...","Oh, Yonah..."
