"0","2","26","4294967295","0.86","3.36","0.86","3.36","","","","……小白！……這本破書！"
"","","","","3.36","6.06","3.36","6.06","","","","這本破書！別在關鍵時刻說這種莫名其妙的話！！"
"","","","","6.06","7.86","6.06","7.86","","","","如果你不給我乖乖幫忙，"
"","","","","7.86","10","7.86","10","","","","我就把你丟進火爐，真的當作柴火燒喔！你這破紙片！"
"","","","","10","13.8","10","13.8","","","","你的那張嘴就是為了惹我們嫌才存在的吧！？"
"","","","","13.8","15.9","13.8","15.9","","","","你的腦袋裡應該充滿了要對我們說教的內容吧！？"
"","","","","15.9","19","15.9","19","","","","忘了夥伴，淨說些魔王長魔王短的夢話。"
"","","","","19","22","19","22.5","","","","少跟我開玩笑了！！"
"","","","","24.2","26.3","24.2","26.3","","","","【１４００年後的未來】"
"","","","","35.8","38","35.8","38","","","","【逐漸毀滅的世界】"
""
