"0","","","","1.33","3.06","0","1.5","","","","私は決めたんだ！！"
"","","","","3.06","8.6","2.5","7.2","","","","誰の指図も受けない！私は、刃になるって決めたんだ！！"
"","","","","8.6","13.21","7.5","11.3","","","","お前の……お前の刃になるって決めたんだ！！！"
"","","","","13.21","17.59","11.8","16","","","","絶対に、絶対に、絶対に取り戻してみせる！！"
"","","","","17.59","23.2","17","21.2","","","","ふざけんなッ！勝手に消えて！勝手に消えて！どういうつもりなんだ！！"
"","","","","23.2","26.3","21.8","24.5","","","","自分が生きてる意味は自分が決める！"
"","","","","26.3","30.2","25.5","28","","","","この命も私が勝手に使う！だから……"
"","","","","30.2","32.5","28.5","31.5","","","","とっとと戻って来い！"
"","","","","32.5","34.7","31.5","34","","","","この腐れ※★○▲野郎！！"
""
