"0","","","","1.33","3.06","0","1.5","","","","Ich habe bereits einen Entschluss gefasst!"
"","","","","3.06","8.6","2.5","7.2","","","","Niemand sagt mir, was ich zu tun habe! Ich habe geschworen, ein Schwert zu sein!"
"","","","","8.6","13.21","7.5","11.3","","","","Ich habe geschworen, DEIN Schwert zu sein! Hörst du?!"
"","","","","13.21","17.59","11.8","16","","","","Daher werde ich dich zurückholen – egal, was auch passiert!"
"","","","","17.59","23.2","17","21.2","","","","Was zum Teufel glaubst du, wer du bist, einfach so zu verschwinden, hm?"
"","","","","23.2","26.3","21.8","24.5","","","","ICH bin diejenige, die zu entscheiden hat, was mir mein Leben bedeutet!"
"","","","","26.3","30.2","25.5","28","","","","Das ist MEIN Leben, und ich werde damit tun, was ich will!"
"","","","","30.2","32.5","28.5","31.5","","","","Also hör auf, meine Zeit wie ein hirnloser Idiot zu vergeuden<LF>und SCHWING SOFORT DEINEN ARSCH HIERHER!"
"","","","","32.5","34.7","31.5","34","","","","Also hör auf, meine Zeit wie ein hirnloser Idiot zu vergeuden<LF>und SCHWING SOFORT DEINEN ARSCH HIERHER!"
""
