"0","2","26","4294967295","0.2","2","0.2","2","","","","Weiss, you dumbass!"
"","","","","2.5","5.5","2.3","5.5","","","","Start making sense, you rotten book, or you're gonna be sorry!"
"","","","","5.5","7.8","5.5","7.5","","","","Maybe I'll rip your pages out, one-by-one!"
"","","","","7.8","9.7","7.5","9.4","","","","Or maybe I'll put you in the goddamn furnace!"
"","","","","9.8","13.1","9.8","13.2","","","","How can someone with such a big, smart brain get hypnotized like a little bitch? Huh?"
"","","","","13.3","15.3","13.4","15.2","","","","Oh, Shadowlord! I love you, Shadowlord!"
"","","","","15.4","20.8","15.3","18.3","","","","Come over here and give Weiss a big sloppy kiss, Shadowlord!"
"","","","","21","22.5","18.3","22.5","","","","Now pull your head out of your goddamn ass and START FUCKING HELPING US!"
"","","","","24","26","24.2","26.3","","","","1,400 years in the future..."
"","","","","35.5","37.8","35.8","38","","","","The world is on the verge of destruction..."
""
